NOM_SCIENTIFIQUE;NOM_LATIN
Herbertaceae Müll.Frib. ex Fulford & Hatcher;Herbertaceae Müll
Herbertus dicranus (Taylor ex Gottsche, Lindenb. & Nees) Trevis., 1877;Herbertus dicranus
Herbertus gracilis (Mont.) Kuntze, 1891;Herbertus gracilis
Herbertus Gray, 1821;Herbertus Gray
Herbertus juniperoideus (Sw.) Grolle, 1961;Herbertus juniperoideus
Herbertus juniperoideus subsp. bivittatus (Spruce) Feldberg & Heinrichs;Herbertus juniperoideus
Herbertus juniperoideus subsp. juniperoideus (Sw.) Grolle, 1961;Herbertus juniperoideus
Herbertus juniperoideus subsp. pensilis (Taylor) K.Feldberg & Heinrichs, 2006;Herbertus juniperoideus
Herbertus leratii (Steph.) H.A.Mill., 1965;Herbertus leratii
Herbertus longifissus Steph., 1895;Herbertus longifissus
Herbertus mauritianus N.G.Hodgetts, 2008;Herbertus mauritianus
Herbertus oldfieldianus (Steph.) Rodway, 1916;Herbertus oldfieldianus
Herbertus pilifer Schiffn., 1892;Herbertus pilifer
Herissantia crispa (L.) Brizicky, 1968;Herissantia crispa
Herissantia Medik., 1788;Herissantia Medik
Heritiera Aiton, 1789;Heritiera Aiton
Heritiera littoralis Aiton, 1789;Heritiera littoralis
Hermannieae DC., 1824;Hermannieae DC
Herminium L., 1758;Herminium L
Herminium monorchis (L.) R.Br., 1813;Herminium monorchis
Hernandia cordigera Vieill., 1861;Hernandia cordigera
Hernandia drakeana Nadeaud, 1899;Hernandia drakeana
Hernandia guianensis Aubl., 1775;Hernandia guianensis
Hernandia L., 1753;Hernandia L
Hernandia mascarenensis (Meisn.) Kubitzki, 1969;Hernandia mascarenensis
Hernandia moerenhoutiana Guill.;Hernandia moerenhoutiana
Hernandia moerenhoutiana subsp. campanulata Kubitzki, 1969;Hernandia moerenhoutiana
Hernandia moerenhoutiana subsp. moerenhoutiana Guill.;Hernandia moerenhoutiana
Hernandia moerenhoutiana subsp. samoensis (Hochr.) Kubitzki, 1969;Hernandia moerenhoutiana
Hernandia nukuhivensis F.Br., 1935;Hernandia nukuhivensis
Hernandia nymphaeifolia (C.Presl) Kubitzki, 1970;Hernandia nymphaeifolia
Hernandia ovigera L., 1754;Hernandia ovigera
Hernandia ovigera subsp. stokesii (F.Br.) J.Florence, 1999;Hernandia ovigera
Hernandia sonora L., 1753;Hernandia sonora
Hernandiaceae Blume, 1826 [nom. cons.];Hernandiaceae Blume
Herniaria alpina Chaix, 1785;Herniaria alpina
Herniaria ciliolata Melderis, 1957;Herniaria ciliolata
Herniaria ciliolata subsp. robusta Chaudhri, 1968;Herniaria ciliolata
Herniaria cinerea DC., 1815;Herniaria cinerea
Herniaria glabra L., 1753;Herniaria glabra
Herniaria hirsuta L., 1753;Herniaria hirsuta
Herniaria incana Lam., 1789;Herniaria incana
Herniaria L., 1753;Herniaria L
Herniaria latifolia Lapeyr., 1813;Herniaria latifolia
Herniaria litardierei (Gamisans) Greuter & Burdet, 1982;Herniaria litardierei
Herniaria scabrida Boiss., 1838;Herniaria scabrida
Herniaria scabrida subsp. scabrida Boiss., 1838;Herniaria scabrida
Herpetacanthus Moric., 1847;Herpetacanthus Moric
Herpetacanthus rotundatus (Lindau) Bremek., 1938;Herpetacanthus rotundatus
Herpetineuron (Müll.Hal.) Cardot, 1905;Herpetineuron (Müll
Herpetineuron toccoae (Sull. & Lesq.) Cardot, 1905;Herpetineuron toccoae
Herposiphonia delicatula Hollenb., 1968;Herposiphonia delicatula
Herposiphonia dendroidea Hollenb., 1968;Herposiphonia dendroidea
Herposiphonia filifera Hollenberg, 1968;Herposiphonia filifera
Herposiphonia Nägeli, 1846;Herposiphonia Nägeli
Herposiphonia nuda Hollenb., 1968;Herposiphonia nuda
Herposiphonia obscura Hollenb., 1968;Herposiphonia obscura
Herposiphonia pacifica Hollenb., 1968;Herposiphonia pacifica
Herposiphonia parca Setch., 1926;Herposiphonia parca
Herposiphonia pecten-veneris (Harv.) Falkenb., 1901;Herposiphonia pecten-veneris
Herposiphonia secunda (C.Agardh) Ambronn, 1880;Herposiphonia secunda
Herposiphonia tenella (C.Agardh) Ambronn, 1880;Herposiphonia tenella
Herposiphonia variabilis Hollenberg, 1968;Herposiphonia variabilis
Herposiphonieae Schmitz & Falkenb., 1897;Herposiphonieae Schmitz
Herrania albiflora Goudot, 1844;Herrania albiflora
Herrania Goudot, 1844;Herrania Goudot
Herrania kanukuensis R.E.Schult., 1943;Herrania kanukuensis
Herrania lemniscata (R.H.Schomb.) R.E.Schult., 1943;Herrania lemniscata
Herrania mariae (Mart.) Decne. ex Goudot, 1844;Herrania mariae
Hertia cheirifolia (L.) Kuntze, 1891;Hertia cheirifolia
Hertia Less., 1831;Hertia Less
Herzogiella Broth., 1925;Herzogiella Broth
Herzogiella seligeri (Brid.) Z.Iwats., 1970;Herzogiella seligeri
Herzogiella striatella (Brid.) Z.Iwats., 1970;Herzogiella striatella
Herzogiella turfacea (Lindb.) Z.Iwats., 1970;Herzogiella turfacea
Herzogobryum atrocapillum (Hook.f. & Taylor) Grolle, 1966;Herzogobryum atrocapillum
Herzogobryum Grolle, 1964;Herzogobryum Grolle
Herzogobryum vermiculare (Schiffn.) Grolle, 1965;Herzogobryum vermiculare
Hesperantha coccinea (Backh. & Harv. ex Hook.) Goldblatt & J.C.Manning, 1996;Hesperantha coccinea
Hesperantha Ker Gawl., 1804;Hesperantha Ker
Hesperis L., 1753;Hesperis L
Hesperis laciniata All., 1785;Hesperis laciniata
Hesperis laciniata subsp. laciniata All., 1785;Hesperis laciniata
Hesperis matronalis L., 1753;Hesperis matronalis
Hesperis matronalis subsp. inodora (L.) P.Fourn., 1936;Hesperis matronalis
Hesperis matronalis subsp. matronalis L., 1753;Hesperis matronalis
Hesperis matronalis subsp. nivea (Baumg.) E.P.Perrier, 1917;Hesperis matronalis
Hesperis matronalis subsp. voronovii (N.Busch) P.W.Ball, 1963;Hesperis matronalis
Hesperocodon Eddie & Cupido, 2014;Hesperocodon Eddie
Hesperocodon hederaceus (L.) Eddie & Cupido, 2014;Hesperocodon hederaceus
Hesperocyparis arizonica (Greene) Bartel, 2009;Hesperocyparis arizonica
Hesperocyparis bakeri (Jeps.) Bartel, 2009;Hesperocyparis bakeri
Hesperocyparis Bartel & R.A.Price, 2009;Hesperocyparis Bartel
Hesperocyparis forbesii (Jeps.) Bartel, 2009;Hesperocyparis forbesii
Hesperocyparis glabra (Sudw.) Bartel, 2009;Hesperocyparis glabra
Hesperocyparis goveniana (Gordon) Bartel, 2009;Hesperocyparis goveniana
Hesperocyparis guadalupensis (S.Watson) Bartel, 2009;Hesperocyparis guadalupensis
Hesperocyparis lusitanica (Mill.) Bartel, 2009;Hesperocyparis lusitanica
Hesperocyparis macnabiana (A.Murray bis) Bartel, 2009;Hesperocyparis macnabiana
Hesperocyparis macrocarpa (Hartw.) Bartel, 2009;Hesperocyparis macrocarpa
Hesperocyparis sargentii (Jeps.) Bartel, 2009;Hesperocyparis sargentii
Hetaeria Blume, 1825;Hetaeria Blume
Hetaeria oblongifolia Blume, 1810;Hetaeria oblongifolia
Hetaeria whitmeei Rchb.f., 1877;Hetaeria whitmeei
Heteranthelium Hochst., 1843;Heteranthelium Hochst
Heteranthelium piliferum (Banks & Sol.) Hochst., 1843;Heteranthelium piliferum
Heteranthemis Schott, 1818;Heteranthemis Schott
Heteranthemis viscidehirta Schott, 1818;Heteranthemis viscidehirta
Heteranthera limosa (Sw.) Willd., 1801;Heteranthera limosa
Heteranthera reniformis Ruiz & Pav., 1798;Heteranthera reniformis
Heteranthera rotundifolia (Kunth) Griseb., 1866;Heteranthera rotundifolia
Heteranthera Ruiz & Pav., 1798;Heteranthera Ruiz
Heteranthera zosterifolia Mart., 1823;Heteranthera zosterifolia
Heterocentron Hook. & Arn., 1838;Heterocentron Hook
Heterocentron subtriplinervium (Link & Otto) A.Braun & C.D.Bouché, 1851;Heterocentron subtriplinervium
Heterochaenia A.DC., 1839;Heterochaenia A
Heterochaenia borbonica Badré & Cadet, 1972;Heterochaenia borbonica
Heterochaenia ensifolia (Lam.) DC., 1839;Heterochaenia ensifolia
Heterochaenia fragrans H.Thomas, Félicité & Adolphe, 2008;Heterochaenia fragrans
Heterochaenia rivalsii Badré & Cadet, 1972;Heterochaenia rivalsii
Heterocladiella dimorpha (Brid.) Ignatov & Fedosov, 2019;Heterocladiella dimorpha
Heterocladiella Ignatov & Fedosov, 2019;Heterocladiella Ignatov
Heterocladiellaceae Ignatov & Fedosov, 2019;Heterocladiellaceae Ignatov
Heterocladium flaccidum (Schimp.) A.J.E.Sm., 2006;Heterocladium flaccidum
Heterocladium heteropterum (Brid.) Schimp., 1852;Heterocladium heteropterum
Heterocladium Schimp., 1852;Heterocladium Schimp
Heterocladium wulfsbergii I.Hagen, 1909;Heterocladium wulfsbergii
Heterocondylus R.M.King & H.Rob., 1972;Heterocondylus R
Heterocondylus vitalbae (DC.) R.M.King & H.Rob., 1972;Heterocondylus vitalbae
Heterodasya Joly & Oliveira, 1966;Heterodasya Joly
Heterodasya mucronata (Harv.) M.J.Wynne, 2005;Heterodasya mucronata
Heterogemma (Jörg.) Konstant. & Vilnet, 2009;Heterogemma (Jörg
Heterogemma patagonica (Herzog & Grolle) L.Söderstr. & Váňa, 2013;Heterogemma patagonica
Heterophyllium (Schimp.) Kindb., 1894;Heterophyllium (Schimp
Heterophyllium nemorosum (W.D.J. Koch ex Brid.) Kindb., 1894;Heterophyllium nemorosum
Heteropogon contortus (L.) P.Beauv., 1817;Heteropogon contortus
Heteropogon melanocarpus (Elliott) Benth., 1881;Heteropogon melanocarpus
Heteropogon Pers., 1807;Heteropogon Pers
Heteropsideae Engl., 1906;Heteropsideae Engl
Heteropsis flexuosa (Kunth) G.S.Bunting, 1979;Heteropsis flexuosa
Heteropsis Kunth, 1841;Heteropsis Kunth
Heteropsis melinonii (Engl.) A.M.E.Jonker & Jonker, 1953;Heteropsis melinonii
Heteropsis robusta (G.S.Bunting) M.L.Soares, 2009;Heteropsis robusta
Heteropsis spruceana Schott, 1856;Heteropsis spruceana
Heteropsis tenuispadix G.S.Bunting, 1986;Heteropsis tenuispadix
Heteropterys biglandulosa A.Juss., 1840;Heteropterys biglandulosa
Heteropterys Kunth, 1821;Heteropterys Kunth
Heteropterys leona (Cav.) Exell, 1944;Heteropterys leona
Heteropterys macradena (DC.) W.R.Anderson, 1981;Heteropterys macradena
Heteropterys macrostachya A.Juss., 1840;Heteropterys macrostachya
Heteropterys nervosa A.Juss., 1833;Heteropterys nervosa
Heteropterys oligantha W.R.Anderson, 1981;Heteropterys oligantha
Heteropterys orinocensis (Kunth) A.Juss., 1840;Heteropterys orinocensis
Heteropterys platyptera DC., 1824;Heteropterys platyptera
Heteropterys purpurea (L.) Kunth, 1822;Heteropterys purpurea
Heteropterys siderosa Cuatrec., 1958;Heteropterys siderosa
Heteroscyphus argutus (Reinw., Blume & Nees) Schiffn., 1910;Heteroscyphus argutus
Heteroscyphus aselliformis (Reinw., Blume & Nees) Schiffn., 1910;Heteroscyphus aselliformis
Heteroscyphus assurgentissimus J.J.Engel, Thouvenot & Frank Müll., 2021;Heteroscyphus assurgentissimus
Heteroscyphus caledonicus (Steph.) Schiffn., 1910;Heteroscyphus caledonicus
Heteroscyphus coalitus (Hook.) Schiffn., 1910;Heteroscyphus coalitus
Heteroscyphus confertus (Steph.) Thouvenot, 2018;Heteroscyphus confertus
Heteroscyphus cornutistipulus (Steph.) Thouvenot, 2023;Heteroscyphus cornutistipulus
Heteroscyphus deplanchei (Steph.) Schiffn., 1910;Heteroscyphus deplanchei
Heteroscyphus diestianus (Sande Lac.) Piippo, 1985;Heteroscyphus diestianus
Heteroscyphus dubius (Gottsche) Schiffn., 1910;Heteroscyphus dubius
Heteroscyphus elliottii (Steph.) Pagan, 1939;Heteroscyphus elliottii
Heteroscyphus etesseanus (Steph.) Thouvenot, 2023;Heteroscyphus etesseanus
Heteroscyphus giganteus (Steph.) Hürl., 1998;Heteroscyphus giganteus
Heteroscyphus grandiflorus (Steph.) Hürl., 1998;Heteroscyphus grandiflorus
Heteroscyphus grandistipus (Steph.) Schiffn., 1910;Heteroscyphus grandistipus
Heteroscyphus hebridensis (Steph.) Schiffn., 1910;Heteroscyphus hebridensis
Heteroscyphus jackii (Steph.) Schiffn., 1910;Heteroscyphus jackii
Heteroscyphus kanakensis Thouvenot & J.J.Engel, 2021;Heteroscyphus kanakensis
Heteroscyphus nadeaudii (Steph.) Schiffn., 1910;Heteroscyphus nadeaudii
Heteroscyphus parapilistipulus (Thouvenot) Thouvenot, 2023;Heteroscyphus parapilistipulus
Heteroscyphus Schiffn. [nom. cons.];Heteroscyphus Schiffn
Heteroscyphus splendens (Lehm. & Lindenb.) Grolle, 1984;Heteroscyphus splendens
Heteroscyphus subacuminatus (Herzog) Thouvenot, 2023;Heteroscyphus subacuminatus
Heteroscyphus succulentus (Gottsche) Schiffn., 1910;Heteroscyphus succulentus
Heteroscyphus supinopsis J.J.Engel, Thouvenot & Frank Müll., 2021;Heteroscyphus supinopsis
Heteroscyphus zollingeri (Gottsche) Schiffn., 1910;Heteroscyphus zollingeri
Heterosiphonia berkeleyi Mont., 1842;Heterosiphonia berkeleyi
Heterosiphonia crassipes (Harvey) Falkenb., 1901;Heterosiphonia crassipes
Heterosiphonia crispella (C.Agardh) M.J.Wynne, 1985;Heterosiphonia crispella
Heterosiphonia gibbesii (Harv.) Falkenb., 1901;Heterosiphonia gibbesii
Heterosiphonia Mont., 1842;Heterosiphonia Mont
Heterosiphonia plumosa (J.Ellis) Batters, 1902;Heterosiphonia plumosa
Heterosiphonioideae ;Heterosiphonioideae
Heterospathe elata Scheff., 1876;Heterospathe elata
Heterospathe longipes (H.E.Moore) Norup, 2005;Heterospathe longipes
Heterospathe Scheff., 1876;Heterospathe Scheff
Heterostemma acuminatum Decne., 1838;Heterostemma acuminatum
Heterostemma bicanthaceum Meve, Gâteblé & Liede, 2018;Heterostemma bicanthaceum
Heterostemma Wight & Arn., 1834;Heterostemma Wight
Heterostemminae Meve & Liede, 2004;Heterostemminae Meve
Heterostemon Desf., 1818;Heterostemon Desf
Heterostemon mimosoides Desf., 1818;Heterostemon mimosoides
Heterotaxis disciflora Sambin & Chiron, 2014;Heterotaxis disciflora
Heterotaxis discolor (Lodd. ex Lindl.) Ojeda & Carnevali, 2005;Heterotaxis discolor
Heterotaxis Lindl., 1826;Heterotaxis Lindl
Heterotaxis santanae (Carnevali & I.Ramírez) Ojeda & Carnevali, 2005;Heterotaxis santanae
Heterotaxis sessilis (Sw.) F.Barros, 2002;Heterotaxis sessilis
Heterotaxis superflua (Rchb.f.) F.Barros, 2002;Heterotaxis superflua
Heterotaxis ventricosa Sambin & Chiron, 2015;Heterotaxis ventricosa
Heterotaxis villosa (Barb.Rodr.) F.Barros, 2002;Heterotaxis villosa
Heterotaxis violaceopunctata (Rchb.f.) F.Barros, 2002;Heterotaxis violaceopunctata
Heterotis Benth., 1849;Heterotis Benth
Heterotis decumbens (P.Beauv.) Jacq.-Fél.;Heterotis decumbens
Heterotis rotundifolia (Sm.) Jacq.-Fél., 1981;Heterotis rotundifolia
Heuchera ;Heuchera
Heuchera sanguinea Engelm., 1848;Heuchera sanguinea
Hevea Aubl., 1775;Hevea Aubl
Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg., 1865;Hevea brasiliensis
Hevea guianensis Aubl., 1775;Hevea guianensis
Hevea pauciflora (Spruce ex Benth.) Müll.Arg., 1865;Hevea pauciflora
Heveeae G.L.Webster, 2014;Heveeae G
Hexapterella gentianoides Urb., 1903;Hexapterella gentianoides
Hexapterella Urb., 1903;Hexapterella Urb
Hexasepalum apiculatum (Willd.) Delprete & J.H.Kirkbr., 2015;Hexasepalum apiculatum
Hexasepalum Bartl. ex DC., 1830;Hexasepalum Bartl
Hexasepalum sarmentosum (Sw.) Delprete & J.H.Kirkbr., 2015;Hexasepalum sarmentosum
Hexasepalum teres (Walter) J.H.Kirkbr., 2014;Hexasepalum teres
Hibbertia altigena Schltr., 1906;Hibbertia altigena
Hibbertia Andrews, 1800;Hibbertia Andrews
Hibbertia baudouinii Brongn. & Gris, 1864;Hibbertia baudouinii
Hibbertia bouletii Veillon;Hibbertia bouletii
Hibbertia comptonii Baker f., 1921;Hibbertia comptonii
Hibbertia deplancheana Bureau ex Guillaumin, 1911;Hibbertia deplancheana
Hibbertia ebracteata Bureau ex Guillaumin;Hibbertia ebracteata
Hibbertia emarginata Guillaumin, 1920;Hibbertia emarginata
Hibbertia favieri Veillon, 1990;Hibbertia favieri
Hibbertia heterotricha Bureau ex Guillaumin;Hibbertia heterotricha
Hibbertia lanceolata Bureau ex Guillaumin;Hibbertia lanceolata
Hibbertia lucens Brongn. & Gris ex Sebert & Pancher, 1874;Hibbertia lucens
Hibbertia margaretiae Veillon;Hibbertia margaretiae
Hibbertia moratii Veillon;Hibbertia moratii
Hibbertia nana Däniker, 1933;Hibbertia nana
Hibbertia pancheri (Brongn. & Gris) Briq., 1900;Hibbertia pancheri
Hibbertia patula Guillaumin, 1920;Hibbertia patula
Hibbertia podocarpifolia Schltr., 1906;Hibbertia podocarpifolia
Hibbertia pulchella (Brongn. & Gris) Schltr., 1906;Hibbertia pulchella
Hibbertia rubescens Vieill. ex Guillaumin;Hibbertia rubescens
Hibbertia tontoutensis Guillaumin, 1953;Hibbertia tontoutensis
Hibbertia trachyphylla Schltr., 1906;Hibbertia trachyphylla
Hibbertia vieillardii (Brongn. & Gris) Gilg;Hibbertia vieillardii
Hibbertia wagapii Vieill. ex Gilg;Hibbertia wagapii
Hibbertioideae J.W. Horn, 2009;Hibbertioideae J
Hibisceae Rchb., 1832;Hibisceae Rchb
Hibiscus acetosella Welw. ex Hiern, 1896;Hibiscus acetosella
Hibiscus amazonicus Fryxell, 1986;Hibiscus amazonicus
Hibiscus australensis Fosberg, 1967;Hibiscus australensis
Hibiscus bifurcatus Cav., 1787;Hibiscus bifurcatus
Hibiscus boryanus DC., 1824;Hibiscus boryanus
Hibiscus bragliae L.A.J.Thomson;Hibiscus bragliae
Hibiscus caerulescens Baill., 1885;Hibiscus caerulescens
Hibiscus calyphyllus Cav., 1790;Hibiscus calyphyllus
Hibiscus cannabinus L., 1759;Hibiscus cannabinus
Hibiscus columnaris Cav., 1787;Hibiscus columnaris
Hibiscus comorensis Baill., 1885;Hibiscus comorensis
Hibiscus dimidiatus Schrank, 1822;Hibiscus dimidiatus
Hibiscus diversifolius Jacq., 1789;Hibiscus diversifolius
Hibiscus fragilis DC., 1824;Hibiscus fragilis
Hibiscus furcellatus Lam., 1789;Hibiscus furcellatus
Hibiscus heterophyllus Vent., 1803;Hibiscus heterophyllus
Hibiscus indicus (Burm.f.) Hochr., 1949;Hibiscus indicus
Hibiscus kaute L.A.J.Thomson & Butaud, 2022;Hibiscus kaute
Hibiscus L., 1753 [nom. et typ. cons.];Hibiscus L
Hibiscus lavateroides Moric. ex Ser., 1830;Hibiscus lavateroides
Hibiscus liliiflorus Cav., 1787;Hibiscus liliiflorus
Hibiscus lobatus (Murray) Kuntze, 1898;Hibiscus lobatus
Hibiscus mutabilis L., 1753;Hibiscus mutabilis
Hibiscus ovalifolius (Forssk.) Vahl, 1790;Hibiscus ovalifolius
Hibiscus palustris L., 1753;Hibiscus palustris
Hibiscus pentacarpos L., 1753;Hibiscus pentacarpos
Hibiscus phoeniceus Jacq., 1776;Hibiscus phoeniceus
Hibiscus physaloides Guill. & Perr., 1831;Hibiscus physaloides
Hibiscus platanifolius (Willd.) Sweet, 1827;Hibiscus platanifolius
Hibiscus radiatus Cav., 1787;Hibiscus radiatus
Hibiscus rosa-sinensis L., 1753;Hibiscus rosa-sinensis
Hibiscus sabdariffa L., 1753;Hibiscus sabdariffa
Hibiscus schizopetalus (Dyer) Hook.f., 1880;Hibiscus schizopetalus
Hibiscus sect. Bombicella DC., 1824;Hibiscus sect
Hibiscus sect. Calyphylli Ulbr., 1921;Hibiscus sect
Hibiscus sect. Columnaris Hochr., 1900;Hibiscus sect
Hibiscus sect. Furcaria DC., 1824;Hibiscus sect
Hibiscus sect. Hibiscus L., 1753;Hibiscus sect
Hibiscus sect. Lilibiscus Hochr., 1900;Hibiscus sect
Hibiscus sect. Muenchhusia (Heist. ex Fabr.) O.J.Blanch., 1988;Hibiscus sect
Hibiscus sect. Pterocarpus Garcke ex Hochr., 1900;Hibiscus sect
Hibiscus sect. Solandra Hochr., 1900;Hibiscus sect
Hibiscus sect. Striati O.J.Blanch., 1988;Hibiscus sect
Hibiscus sect. Trionastrum Griseb., 1857;Hibiscus sect
Hibiscus sect. Trionum (L.) DC., 1824;Hibiscus sect
Hibiscus sect. Venusti Ulbr., 1921;Hibiscus sect
Hibiscus sidiformis Baill., 1885;Hibiscus sidiformis
Hibiscus sororius L., 1775;Hibiscus sororius
Hibiscus spathulatus Garcke, 1849;Hibiscus spathulatus
Hibiscus surattensis L., 1753;Hibiscus surattensis
Hibiscus syriacus L., 1753;Hibiscus syriacus
Hibiscus tiliaceus subsp. tiliaceus 'Purau Ute' ;Hibiscus tiliaceus
Hibiscus tiliaceus subsp. tiliaceus 'Sterilis' ;Hibiscus tiliaceus
Hibiscus trilobus Aubl., 1775;Hibiscus trilobus
Hibiscus trilobus subsp. ingratus (Miq.) O.J.Blanch. & Fryxell, 2000;Hibiscus trilobus
Hibiscus trilobus subsp. trilobus Aubl., 1775;Hibiscus trilobus
Hibiscus trionum L., 1753;Hibiscus trionum
Hibiscus vitifolius L., 1753;Hibiscus vitifolius
Hibiscus x archeri W.Wats., 1869;Hibiscus x
Hickeliinae A.Camus, 1924;Hickeliinae A
Hieraciinae Dumort., 1827;Hieraciinae Dumort
Hieracium acrotrichellum (Romieux & Zahn) J.-M.Tison, 2021;Hieracium acrotrichellum
Hieracium acuminatum Jord., 1849;Hieracium acuminatum
Hieracium adelphicum P.D.Sell, 2006;Hieracium adelphicum
Hieracium adenoclinium Arv.-Touv., 1888;Hieracium adenoclinium
Hieracium aemulum Arv.-Touv. & Gaut., 1894;Hieracium aemulum
Hieracium alatum Lapeyr., 1813;Hieracium alatum
Hieracium albertianum Arv.-Touv. & Gaut., 1899;Hieracium albertianum
Hieracium albidum Vill., 1779;Hieracium albidum
Hieracium albulum Jord. ex Boreau, 1857;Hieracium albulum
Hieracium alpinum L., 1753;Hieracium alpinum
Hieracium amphigenum Arv.-Touv. ex Briq., 1889;Hieracium amphigenum
Hieracium amphiglaucum (Zahn) Prain, 1913;Hieracium amphiglaucum
Hieracium amplexicaule L., 1753;Hieracium amplexicaule
Hieracium anadenum (Burnat & Gremli) Arv.-Touv., 1886;Hieracium anadenum
Hieracium anceps Jord. ex Martrin-Donos, 1864;Hieracium anceps
Hieracium anchodontum Arv.-Touv., 1913;Hieracium anchodontum
Hieracium andryaloides Vill., 1779;Hieracium andryaloides
Hieracium andurense Arv.-Touv., 1897;Hieracium andurense
Hieracium annoticum Arv.-Touv., 1913;Hieracium annoticum
Hieracium apargiifolium Arv.-Touv. & Gaut., 1903;Hieracium apargiifolium
Hieracium apenninum Huter, 1887;Hieracium apenninum
Hieracium approximatum Jord., 1848;Hieracium approximatum
Hieracium aquaenovae (Coquoz & Zahn) J.-M.Tison, 2021;Hieracium aquaenovae
Hieracium ardissonei Zahn, 1916;Hieracium ardissonei
Hieracium arenarium Sch.Bip., 1855;Hieracium arenarium
Hieracium argillaceum Jord., 1849;Hieracium argillaceum
Hieracium armerioides Arv.-Touv., 1871;Hieracium armerioides
Hieracium arnicoides Gren., 1850;Hieracium arnicoides
Hieracium arrectarium Jord. ex Boreau, 1857;Hieracium arrectarium
Hieracium asclepioides Arv.-Touv. & Briq., 1899;Hieracium asclepioides
Hieracium aspernatum Jord. ex Boreau, 1857;Hieracium aspernatum
Hieracium atratum Fr., 1848;Hieracium atratum
Hieracium atropictum Arv.-Touv. & Gaut., 1905;Hieracium atropictum
Hieracium attracticaule Arv.-Touv., 1913;Hieracium attracticaule
Hieracium attractum Arv.-Touv., 1904;Hieracium attractum
Hieracium auratum Fr., 1848;Hieracium auratum
Hieracium aurigeranum Loret & Timb.-Lagr., 1858;Hieracium aurigeranum
Hieracium aurulentum Jord. ex Boreau, 1857;Hieracium aurulentum
Hieracium aviicola Jord. ex Boreau, 1857;Hieracium aviicola
Hieracium axiflorum Arv.-Touv. & Briq., 1894;Hieracium axiflorum
Hieracium aymericianum Arv.-Touv., 1894;Hieracium aymericianum
Hieracium baenitzianum Arv.-Touv., 1886;Hieracium baenitzianum
Hieracium barbulatum Arv.-Touv. & Gaut., 1904;Hieracium barbulatum
Hieracium basalticum (Sch.Bip.) J.-M.Tison, 2015;Hieracium basalticum
Hieracium baseoplecum Arv.-Touv., 1913;Hieracium baseoplecum
Hieracium bastardianum Boreau, 1857;Hieracium bastardianum
Hieracium beauverdianum (Besse & Zahn) Zahn, 1903;Hieracium beauverdianum
Hieracium bellidioides Arv.-Touv. & Gaut., 1904;Hieracium bellidioides
Hieracium berardianum Arv.-Touv., 1879;Hieracium berardianum
Hieracium beugesiacum Jord.;Hieracium beugesiacum
Hieracium bicknellianum Belli & Arv.-Touv. ex Murr, Zahn & Poell, 1909;Hieracium bicknellianum
Hieracium bifidum Kit. ex Hornem., 1815;Hieracium bifidum
Hieracium bifrons Arv.-Touv., 1873;Hieracium bifrons
Hieracium blancii J.Serres, 1855;Hieracium blancii
Hieracium blanquetianum Sennen, 1926;Hieracium blanquetianum
Hieracium blitoides Arv.-Touv. & Gaut., 1904;Hieracium blitoides
Hieracium bocconei Griseb., 1852;Hieracium bocconei
Hieracium boreanum Jord. ex Boreau, 1857;Hieracium boreanum
Hieracium bornetii Burnat & Gremli, 1883;Hieracium bornetii
Hieracium bourgaei Boiss., 1856;Hieracium bourgaei
Hieracium brassicoides Arv.-Touv. ex Wilczek, 1894;Hieracium brassicoides
Hieracium brevidentatum Jord. ex Boreau, 1857;Hieracium brevidentatum
Hieracium brevifolium Tausch, 1828;Hieracium brevifolium
Hieracium brevipes Jord. ex Boreau, 1857;Hieracium brevipes
Hieracium brigantiacum Jord. ex Nyman, 1879;Hieracium brigantiacum
Hieracium brumale Arv.-Touv., 1888;Hieracium brumale
Hieracium brunelliforme Arv.-Touv., 1888;Hieracium brunelliforme
Hieracium buglossoides Arv.-Touv., 1880;Hieracium buglossoides
Hieracium burlei (Zahn) J.-M.Tison, 2021;Hieracium burlei
Hieracium burnatii Arv.-Touv. ex Burnat & Gremli, 1883;Hieracium burnatii
Hieracium cadinense Evers, 1896;Hieracium cadinense
Hieracium caerulaceum Arv.-Touv., 1883;Hieracium caerulaceum
Hieracium caesioides Arv.-Touv., 1876;Hieracium caesioides
Hieracium caesiolanatum J.-M.Tison, 2021;Hieracium caesiolanatum
Hieracium caesium (Fr.) Fr., 1848;Hieracium caesium
Hieracium calcaricola (F.Hanb.) Roffey, 1925;Hieracium calcaricola
Hieracium callianthum Arv.-Touv., 1880;Hieracium callianthum
Hieracium calocymum Zahn, 1905;Hieracium calocymum
Hieracium calycinum Arv.-Touv., 1876;Hieracium calycinum
Hieracium candicans Tausch, 1828;Hieracium candicans
Hieracium candidum Scheele, 1863;Hieracium candidum
Hieracium canescens Link, 1822;Hieracium canescens
Hieracium cantalicum Arv.-Touv., 1879;Hieracium cantalicum
Hieracium casterinense (Zahn) Van Es & J.-M.Tison, 2021;Hieracium casterinense
Hieracium cavillieri Zahn, 1916;Hieracium cavillieri
Hieracium cebennense Arv.-Touv. ex B.-A.Martin, 1893;Hieracium cebennense
Hieracium cebennicola (Sudre) J.-M.Tison, 2021;Hieracium cebennicola
Hieracium cenisium Arv.-Touv., 1887;Hieracium cenisium
